Participants,Dons,Rang
DarkMoon,549072,R4
Alka,476916,R3
Raptorr,334258,R4
H@ns,325920,R4
Janine,311256,R3
BiLiE_59,245832,R4
Buggun,242088,R2
Steyrmat,232932,R3
Thauvin,223962,R5
TheHellking,312970,R3
Hrafna-Floki,190576,R1
Ezylis,174792,R4
Whitestone,145452,R1
Nacho,141708,R3
Alrion,139620,R3
Jesus1044,131806,R1
Elendala,130248,R3
Guillaume,128500,R4
Nessa,123876,R3
Huzur,122952,R1
Lau20000,122730,R2
Crocangel,118994,R1
Yellowstone,116464,R1
Ricketto,115890,R1
Salerno,97350,R2
Padre,87474,R2
Multifruits,85776,R2
Kenzo59,84876,R1
Sir ChusKaO,81456,R1
Excalibur,80520,R3
Abigail,79631,R1
Benito766,79272,R1
Jocia,78108,R1
Tony,76132,R1
Yavalpa,72936,R2
Jess,70152,R2
Bulle,66468,R3
Poupard,64548,R2
Maximo V ,62790,R1
Warzzou,58680,R3
Jasmine,54336,R1
FraZone04,54160,R2
FallenAngel,50808,R1
LisaCb,50304,R1
Bendre,41916,R1
Youhyou,41112,R1
Caranthir,38940,R1
Yolbry,32982,R1
Sir Janus,24108,R1
Hungers,12600,R1
Pawellllos,11424,R1
Hans2,8550,R1
KillDid,8436,R3
Massa,6006,R1
DarthUseless,4180,R2
Mignon,0,R1
Elphye,0,R2
Dragonne,0,R1
Thierry,0,R1
